Comment,Designator,Footprint,LCSC
100k,"R3,R4",R_0805_2012Metric,C149504
10n,C9,C_0402_1005Metric,C15195
100n,"C1,C11,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C4,C5",C_0402_1005Metric,C1525
TYPE-C-31-M12,J1,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,C165948
220,"R14,R15",R_0805_2012Metric,C17557
D_Schottky,D63,D_SOD-123F,C18199087
2N7002K,Q1,SOT-23,C22379475
10k,"R10,R11,R12,R13,R9",R_0402_1005Metric,C25744
51k,R6,R_0402_1005Metric,C25794
1.5k,R5,R_0402_1005Metric,C25867
4.7k,"R1,R2",R_0402_1005Metric,C25900
5.1k,"R7,R8",R_0805_2012Metric,C27834
1u,"C2,C3",C_0805_2012Metric,C28323
SLSS49E-3,"HALL1,HALL2,HALL3,HALL4",SOT-23,C2904393
STM32F401-LQFP64,U2,LQFP-64_10x10mm_P0.5mm,C46046
1u,C8,C_0402_1005Metric,C52923
MCP1700T-3302E/TT,U1,SOT-23,C5446
mSMD110-16V,"F1,F2,F3",Fuse_1812_4532Metric,C69691
10u,C10,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,C7171
1N4148W,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D7,D8,D9",D_SOD-123,C81598
SRV05-4-P-T7,U3,SOT-23-6-routable,C85364
RB060M-60TR SS34,D62,D_SMA,C8678
