Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,328.041,-74.8665,270.0,bottom
C2,1u,C_0805_2012Metric,223.981,-47.9365,270.0,bottom
C3,1u,C_0805_2012Metric,234.401,-48.2765,270.0,bottom
C4,100n,C_0402_1005Metric,324.231,-80.2005,0.0,bottom
C5,100n,C_0402_1005Metric,324.231,-60.96,180.0,bottom
C8,1u,C_0402_1005Metric,318.733048,-78.7135,180.0,bottom
C9,10n,C_0402_1005Metric,318.7065,-77.5335,180.0,bottom
C10,10u,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,240.6015,-48.1965,90.0,bottom
C11,100n,C_0402_1005Metric,309.9435,-65.7225,90.0,bottom
C13,100n,C_0402_1005Metric,84.659423,-43.410118,90.0,bottom
C14,100n,C_0402_1005Metric,355.2825,-86.106,90.0,bottom
C15,100n,C_0402_1005Metric,359.283,-66.957,90.0,bottom
C16,100n,C_0402_1005Metric,89.231423,-42.076618,90.0,bottom
C17,100n,C_0402_1005Metric,70.383613,-62.301347,90.0,bottom
C18,100n,C_0402_1005Metric,74.96637,-61.158347,90.0,bottom
C19,100n,C_0402_1005Metric,89.476014,-62.296962,90.0,bottom
C20,100n,C_0402_1005Metric,94.048014,-61.153962,90.0,bottom
C21,100n,C_0402_1005Metric,108.498591,-62.491089,90.0,bottom
C22,100n,C_0402_1005Metric,113.070591,-61.157589,90.0,bottom
C23,100n,C_0402_1005Metric,312.2295,-72.771,90.0,bottom
D1,1N4148W,D_SOD-123,57.11,-39.243,90.0,bottom
D2,1N4148W,D_SOD-123,76.16,-39.243,90.0,bottom
D3,1N4148W,D_SOD-123,94.488,-43.815,90.0,bottom
D4,1N4148W,D_SOD-123,114.26,-39.243,90.0,bottom
D5,1N4148W,D_SOD-123,133.31,-39.243,90.0,bottom
D6,1N4148W,D_SOD-123,152.36,-39.243,90.0,bottom
D7,1N4148W,D_SOD-123,171.41,-39.243,90.0,bottom
D8,1N4148W,D_SOD-123,190.46,-33.528,90.0,bottom
D9,1N4148W,D_SOD-123,193.06,-33.528,90.0,bottom
D10,1N4148W,D_SOD-123,227.2665,-34.671,90.0,bottom
D11,1N4148W,D_SOD-123,247.61,-39.243,90.0,bottom
D12,1N4148W,D_SOD-123,266.66,-39.243,90.0,bottom
D13,1N4148W,D_SOD-123,285.71,-39.243,90.0,bottom
D14,1N4148W,D_SOD-123,342.86,-39.263,90.0,bottom
D15,1N4148W,D_SOD-123,361.91,-39.263,90.0,bottom
D16,1N4148W,D_SOD-123,364.5,-39.253,90.0,bottom
D17,1N4148W,D_SOD-123,288.417,-39.243,90.0,bottom
D18,1N4148W,D_SOD-123,59.531653,-58.223874,90.0,bottom
D19,1N4148W,D_SOD-123,80.962903,-58.223874,90.0,bottom
D20,1N4148W,D_SOD-123,100.012903,-58.223874,90.0,bottom
D21,1N4148W,D_SOD-123,119.062903,-58.223874,90.0,bottom
D22,1N4148W,D_SOD-123,138.112903,-58.223874,90.0,bottom
D23,1N4148W,D_SOD-123,157.162903,-58.223874,90.0,bottom
D24,1N4148W,D_SOD-123,176.212903,-58.223874,90.0,bottom
D25,1N4148W,D_SOD-123,195.262903,-58.223874,90.0,bottom
D26,1N4148W,D_SOD-123,214.312903,-58.223874,90.0,bottom
D27,1N4148W,D_SOD-123,233.362903,-58.223874,90.0,bottom
D28,1N4148W,D_SOD-123,252.412903,-58.223874,90.0,bottom
D29,1N4148W,D_SOD-123,271.462903,-58.223874,90.0,bottom
D30,1N4148W,D_SOD-123,295.275,-44.196,90.0,bottom
D31,1N4148W,D_SOD-123,342.900403,-58.243874,90.0,bottom
D32,1N4148W,D_SOD-123,361.930403,-58.243874,90.0,bottom
D33,1N4148W,D_SOD-123,364.540403,-58.253874,90.0,bottom
D34,1N4148W,D_SOD-123,64.330318,-77.328151,90.0,bottom
D35,1N4148W,D_SOD-123,90.524068,-77.328151,90.0,bottom
D36,1N4148W,D_SOD-123,109.574068,-77.328151,90.0,bottom
D37,1N4148W,D_SOD-123,128.624068,-77.328151,90.0,bottom
D38,1N4148W,D_SOD-123,147.674068,-77.328151,90.0,bottom
D39,1N4148W,D_SOD-123,166.724068,-77.328151,90.0,bottom
D40,1N4148W,D_SOD-123,185.774068,-77.328151,90.0,bottom
D41,1N4148W,D_SOD-123,204.824068,-77.328151,90.0,bottom
D42,1N4148W,D_SOD-123,223.874068,-77.328151,90.0,bottom
D43,1N4148W,D_SOD-123,242.924068,-77.328151,90.0,bottom
D44,1N4148W,D_SOD-123,261.974068,-77.328151,90.0,bottom
D45,1N4148W,D_SOD-123,264.6045,-77.343,90.0,bottom
D46,1N4148W,D_SOD-123,309.586568,-77.338151,90.0,bottom
D47,1N4148W,D_SOD-123,342.936568,-77.338151,90.0,bottom
D48,1N4148W,D_SOD-123,361.976568,-77.348151,90.0,bottom
D49,1N4148W,D_SOD-123,364.586568,-77.368151,90.0,bottom
D50,1N4148W,D_SOD-123,62.022247,-96.193995,90.0,bottom
D51,1N4148W,D_SOD-123,83.413497,-96.311995,90.0,bottom
D52,1N4148W,D_SOD-123,107.225997,-96.311995,90.0,bottom
D53,1N4148W,D_SOD-123,147.2565,-96.574995,90.0,bottom
D54,1N4148W,D_SOD-123,188.133247,-96.384495,90.0,bottom
D55,1N4148W,D_SOD-123,207.373747,-96.384495,90.0,bottom
D56,1N4148W,D_SOD-123,266.7,-91.185,90.0,bottom
D57,1N4148W,D_SOD-123,288.189747,-96.321995,90.0,bottom
D58,1N4148W,D_SOD-123,312.009747,-96.341995,90.0,bottom
D59,1N4148W,D_SOD-123,342.979747,-96.361995,90.0,bottom
D60,1N4148W,D_SOD-123,362.019747,-96.351995,90.0,bottom
D61,1N4148W,D_SOD-123,364.629747,-96.351995,90.0,bottom
D62,RB060M-60TR SS34,D_SMA,253.746,-47.4345,270.0,bottom
D63,D_Schottky,D_SOD-123F,317.9445,-52.959,180.0,bottom
F1,mSMD110-16V,Fuse_1812_4532Metric,214.3125,-46.2915,180.0,bottom
F2,mSMD110-16V,Fuse_1812_4532Metric,44.4285,-72.39,0.0,bottom
F3,mSMD110-16V,Fuse_1812_4532Metric,44.577,-82.1055,0.0,bottom
HALL1,SLSS49E-3,SOT-23,86.945423,-43.219618,180.0,bottom
HALL2,SLSS49E-3,SOT-23,72.68037,-62.301347,180.0,bottom
HALL3,SLSS49E-3,SOT-23,91.762014,-62.311962,180.0,bottom
HALL4,SLSS49E-3,SOT-23,110.792358,-62.361657,180.0,bottom
J1,TYPE-C-31-M12,USB_C_Receptacle_Hroparts_TYPE-C-31-M-12,210.782,-28.37,180.0,bottom
Q1,2N7002K,SOT-23,325.755,-53.721,0.0,bottom
R1,4.7k,R_0402_1005Metric,359.664,-69.9135,180.0,bottom
R2,4.7k,R_0402_1005Metric,357.489943,-66.977477,270.0,bottom
R3,100k,R_0805_2012Metric,221.771,-47.9365,270.0,bottom
R4,100k,R_0805_2012Metric,236.601,-48.2365,270.0,bottom
R5,1.5k,R_0402_1005Metric,323.469,-57.7215,270.0,bottom
R6,51k,R_0402_1005Metric,320.802,-57.732,270.0,bottom
R7,5.1k,R_0805_2012Metric,200.406,-33.147,90.0,bottom
R8,5.1k,R_0805_2012Metric,198.12,-33.147,90.0,bottom
R9,10k,R_0402_1005Metric,364.998,-91.059,270.0,bottom
R10,10k,R_0402_1005Metric,89.231423,-44.362618,270.0,bottom
R11,10k,R_0402_1005Metric,74.96637,-63.253847,270.0,bottom
R12,10k,R_0402_1005Metric,94.048014,-63.249462,270.0,bottom
R13,10k,R_0402_1005Metric,113.070591,-63.253089,270.0,bottom
R14,220,R_0805_2012Metric,326.136,-58.1025,90.0,bottom
R15,220,R_0805_2012Metric,353.566,-48.768,180.0,bottom
U1,MCP1700T-3302E/TT,SOT-23,229.681,-44.958,270.0,bottom
U2,STM32F401-LQFP64,LQFP-64_10x10mm_P0.5mm,320.2305,-69.342,0.0,bottom
U3,SRV05-4-P-T7,SOT-23-6-routable,211.648,-37.9095,180.0,bottom
